Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,2021 January,Domestic,Million Litres,182.2
Intake of Cows Milk by Creameries and Pasteurisers,2021 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 February,Domestic,Million Litres,352.4
Intake of Cows Milk by Creameries and Pasteurisers,2021 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 March,Domestic,Million Litres,829.7
Intake of Cows Milk by Creameries and Pasteurisers,2021 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 April,Domestic,Million Litres,1060.5
Intake of Cows Milk by Creameries and Pasteurisers,2021 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 May,Domestic,Million Litres,1181
Intake of Cows Milk by Creameries and Pasteurisers,2021 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 June,Domestic,Million Litres,1067.3
Intake of Cows Milk by Creameries and Pasteurisers,2021 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 July,Domestic,Million Litres,1017.3
Intake of Cows Milk by Creameries and Pasteurisers,2021 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 August,Domestic,Million Litres,917.4
Intake of Cows Milk by Creameries and Pasteurisers,2021 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 September,Domestic,Million Litres,776.7
Intake of Cows Milk by Creameries and Pasteurisers,2021 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 October,Domestic,Million Litres,649.6
Intake of Cows Milk by Creameries and Pasteurisers,2021 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 November,Domestic,Million Litres,465.9
Intake of Cows Milk by Creameries and Pasteurisers,2021 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2021 December,Domestic,Million Litres,258.5
Intake of Cows Milk by Creameries and Pasteurisers,2021 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 January,Domestic,Million Litres,183.3
Intake of Cows Milk by Creameries and Pasteurisers,2022 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 February,Domestic,Million Litres,367.5
Intake of Cows Milk by Creameries and Pasteurisers,2022 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 March,Domestic,Million Litres,808.6
Intake of Cows Milk by Creameries and Pasteurisers,2022 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 April,Domestic,Million Litres,1054.6
Intake of Cows Milk by Creameries and Pasteurisers,2022 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 May,Domestic,Million Litres,1166
Intake of Cows Milk by Creameries and Pasteurisers,2022 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 June,Domestic,Million Litres,1057.6
Intake of Cows Milk by Creameries and Pasteurisers,2022 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 July,Domestic,Million Litres,1022.8
Intake of Cows Milk by Creameries and Pasteurisers,2022 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 August,Domestic,Million Litres,919.01
Intake of Cows Milk by Creameries and Pasteurisers,2022 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 September,Domestic,Million Litres,785.62
Intake of Cows Milk by Creameries and Pasteurisers,2022 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 October,Domestic,Million Litres,692.16
Intake of Cows Milk by Creameries and Pasteurisers,2022 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 November,Domestic,Million Litres,484.86
Intake of Cows Milk by Creameries and Pasteurisers,2022 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2022 December,Domestic,Million Litres,282.73
Intake of Cows Milk by Creameries and Pasteurisers,2022 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 January,Domestic,Million Litres,180.42
Intake of Cows Milk by Creameries and Pasteurisers,2023 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 February,Domestic,Million Litres,380.98
Intake of Cows Milk by Creameries and Pasteurisers,2023 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 March,Domestic,Million Litres,801.41
Intake of Cows Milk by Creameries and Pasteurisers,2023 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 April,Domestic,Million Litres,1028.03
Intake of Cows Milk by Creameries and Pasteurisers,2023 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 May,Domestic,Million Litres,1159.04
Intake of Cows Milk by Creameries and Pasteurisers,2023 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 June,Domestic,Million Litres,1045.5
Intake of Cows Milk by Creameries and Pasteurisers,2023 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 July,Domestic,Million Litres,1014.5
Intake of Cows Milk by Creameries and Pasteurisers,2023 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 August,Domestic,Million Litres,909.1
Intake of Cows Milk by Creameries and Pasteurisers,2023 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,2023 September,Domestic,Million Litres,770.4
Intake of Cows Milk by Creameries and Pasteurisers,2023 September,Import,Million Litres,
Fat Content,1975 January,Domestic,%,
Fat Content,1975 January,Import,%,
Fat Content,1975 February,Domestic,%,
Fat Content,1975 February,Import,%,
Fat Content,1975 March,Domestic,%,
Fat Content,1975 March,Import,%,
Fat Content,1975 April,Domestic,%,
Fat Content,1975 April,Import,%,
Fat Content,1975 May,Domestic,%,
Fat Content,1975 May,Import,%,
Fat Content,1975 June,Domestic,%,
Fat Content,1975 June,Import,%,
Fat Content,1975 July,Domestic,%,
Fat Content,1975 July,Import,%,
Fat Content,1975 August,Domestic,%,
Fat Content,1975 August,Import,%,
Fat Content,1975 September,Domestic,%,
Fat Content,1975 September,Import,%,
Fat Content,1975 October,Domestic,%,
Fat Content,1975 October,Import,%,
Fat Content,1975 November,Domestic,%,
Fat Content,1975 November,Import,%,
Fat Content,1975 December,Domestic,%,
Fat Content,1975 December,Import,%,
Fat Content,1976 January,Domestic,%,
Fat Content,1976 January,Import,%,
Fat Content,1976 February,Domestic,%,
Fat Content,1976 February,Import,%,
Fat Content,1976 March,Domestic,%,
Fat Content,1976 March,Import,%,
Fat Content,1976 April,Domestic,%,
Fat Content,1976 April,Import,%,
Fat Content,1976 May,Domestic,%,
Fat Content,1976 May,Import,%,
Fat Content,1976 June,Domestic,%,
Fat Content,1976 June,Import,%,
Fat Content,1976 July,Domestic,%,
Fat Content,1976 July,Import,%,
Fat Content,1976 August,Domestic,%,
Fat Content,1976 August,Import,%,
Fat Content,1976 September,Domestic,%,
Fat Content,1976 September,Import,%,
Fat Content,1976 October,Domestic,%,
Fat Content,1976 October,Import,%,
Fat Content,1976 November,Domestic,%,
Fat Content,1976 November,Import,%,
Fat Content,1976 December,Domestic,%,
Fat Content,1976 December,Import,%,
Fat Content,1977 January,Domestic,%,
Fat Content,1977 January,Import,%,
Fat Content,1977 February,Domestic,%,
Fat Content,1977 February,Import,%,
Fat Content,1977 March,Domestic,%,
Fat Content,1977 March,Import,%,
Fat Content,1977 April,Domestic,%,
Fat Content,1977 April,Import,%,
Fat Content,1977 May,Domestic,%,
Fat Content,1977 May,Import,%,
Fat Content,1977 June,Domestic,%,
Fat Content,1977 June,Import,%,
Fat Content,1977 July,Domestic,%,
Fat Content,1977 July,Import,%,
Fat Content,1977 August,Domestic,%,
Fat Content,1977 August,Import,%,
Fat Content,1977 September,Domestic,%,
Fat Content,1977 September,Import,%,
Fat Content,1977 October,Domestic,%,
Fat Content,1977 October,Import,%,
Fat Content,1977 November,Domestic,%,
Fat Content,1977 November,Import,%,
Fat Content,1977 December,Domestic,%,
Fat Content,1977 December,Import,%,
Fat Content,1978 January,Domestic,%,
Fat Content,1978 January,Import,%,
Fat Content,1978 February,Domestic,%,
Fat Content,1978 February,Import,%,
Fat Content,1978 March,Domestic,%,
Fat Content,1978 March,Import,%,
Fat Content,1978 April,Domestic,%,
Fat Content,1978 April,Import,%,
Fat Content,1978 May,Domestic,%,
Fat Content,1978 May,Import,%,
Fat Content,1978 June,Domestic,%,
Fat Content,1978 June,Import,%,
Fat Content,1978 July,Domestic,%,
Fat Content,1978 July,Import,%,
Fat Content,1978 August,Domestic,%,
Fat Content,1978 August,Import,%,
Fat Content,1978 September,Domestic,%,
Fat Content,1978 September,Import,%,
Fat Content,1978 October,Domestic,%,
Fat Content,1978 October,Import,%,
Fat Content,1978 November,Domestic,%,
Fat Content,1978 November,Import,%,
Fat Content,1978 December,Domestic,%,
Fat Content,1978 December,Import,%,
Fat Content,1979 January,Domestic,%,
Fat Content,1979 January,Import,%,
Fat Content,1979 February,Domestic,%,
Fat Content,1979 February,Import,%,
Fat Content,1979 March,Domestic,%,
Fat Content,1979 March,Import,%,
Fat Content,1979 April,Domestic,%,
Fat Content,1979 April,Import,%,
Fat Content,1979 May,Domestic,%,
Fat Content,1979 May,Import,%,
Fat Content,1979 June,Domestic,%,
Fat Content,1979 June,Import,%,
Fat Content,1979 July,Domestic,%,
Fat Content,1979 July,Import,%,
Fat Content,1979 August,Domestic,%,
Fat Content,1979 August,Import,%,
Fat Content,1979 September,Domestic,%,
Fat Content,1979 September,Import,%,
Fat Content,1979 October,Domestic,%,
Fat Content,1979 October,Import,%,
Fat Content,1979 November,Domestic,%,
Fat Content,1979 November,Import,%,
Fat Content,1979 December,Domestic,%,
Fat Content,1979 December,Import,%,
Fat Content,1980 January,Domestic,%,3.71
Fat Content,1980 January,Import,%,
Fat Content,1980 February,Domestic,%,3.51
Fat Content,1980 February,Import,%,
Fat Content,1980 March,Domestic,%,3.4
Fat Content,1980 March,Import,%,
Fat Content,1980 April,Domestic,%,3.3
Fat Content,1980 April,Import,%,
Fat Content,1980 May,Domestic,%,3.28
Fat Content,1980 May,Import,%,
Fat Content,1980 June,Domestic,%,3.36
Fat Content,1980 June,Import,%,
Fat Content,1980 July,Domestic,%,3.44
Fat Content,1980 July,Import,%,
Fat Content,1980 August,Domestic,%,3.53
Fat Content,1980 August,Import,%,
Fat Content,1980 September,Domestic,%,3.74
Fat Content,1980 September,Import,%,
Fat Content,1980 October,Domestic,%,4.02
Fat Content,1980 October,Import,%,
Fat Content,1980 November,Domestic,%,4.07
Fat Content,1980 November,Import,%,
Fat Content,1980 December,Domestic,%,3.81
Fat Content,1980 December,Import,%,
Fat Content,1981 January,Domestic,%,3.6
Fat Content,1981 January,Import,%,
Fat Content,1981 February,Domestic,%,3.48
Fat Content,1981 February,Import,%,
Fat Content,1981 March,Domestic,%,3.39
Fat Content,1981 March,Import,%,
Fat Content,1981 April,Domestic,%,3.32
Fat Content,1981 April,Import,%,
Fat Content,1981 May,Domestic,%,3.33
Fat Content,1981 May,Import,%,
Fat Content,1981 June,Domestic,%,3.38
Fat Content,1981 June,Import,%,
Fat Content,1981 July,Domestic,%,3.41
Fat Content,1981 July,Import,%,
Fat Content,1981 August,Domestic,%,3.5
Fat Content,1981 August,Import,%,
Fat Content,1981 September,Domestic,%,3.76
Fat Content,1981 September,Import,%,
Fat Content,1981 October,Domestic,%,4.06
Fat Content,1981 October,Import,%,
Fat Content,1981 November,Domestic,%,4.11
Fat Content,1981 November,Import,%,
Fat Content,1981 December,Domestic,%,3.8
Fat Content,1981 December,Import,%,
Fat Content,1982 January,Domestic,%,3.62
Fat Content,1982 January,Import,%,
Fat Content,1982 February,Domestic,%,3.46
Fat Content,1982 February,Import,%,
Fat Content,1982 March,Domestic,%,3.36
Fat Content,1982 March,Import,%,
Fat Content,1982 April,Domestic,%,3.29
Fat Content,1982 April,Import,%,
Fat Content,1982 May,Domestic,%,3.31
Fat Content,1982 May,Import,%,
Fat Content,1982 June,Domestic,%,3.37
Fat Content,1982 June,Import,%,
Fat Content,1982 July,Domestic,%,3.42
Fat Content,1982 July,Import,%,
Fat Content,1982 August,Domestic,%,3.52
Fat Content,1982 August,Import,%,
Fat Content,1982 September,Domestic,%,3.75
Fat Content,1982 September,Import,%,
Fat Content,1982 October,Domestic,%,4.02
Fat Content,1982 October,Import,%,
Fat Content,1982 November,Domestic,%,4.12
Fat Content,1982 November,Import,%,
Fat Content,1982 December,Domestic,%,3.81
Fat Content,1982 December,Import,%,
Fat Content,1983 January,Domestic,%,3.61
Fat Content,1983 January,Import,%,
Fat Content,1983 February,Domestic,%,3.52
Fat Content,1983 February,Import,%,
Fat Content,1983 March,Domestic,%,3.4
Fat Content,1983 March,Import,%,
Fat Content,1983 April,Domestic,%,3.35
Fat Content,1983 April,Import,%,
Fat Content,1983 May,Domestic,%,3.34
Fat Content,1983 May,Import,%,
Fat Content,1983 June,Domestic,%,3.37
Fat Content,1983 June,Import,%,
Fat Content,1983 July,Domestic,%,3.4
Fat Content,1983 July,Import,%,
Fat Content,1983 August,Domestic,%,3.51
Fat Content,1983 August,Import,%,
Fat Content,1983 September,Domestic,%,3.79
Fat Content,1983 September,Import,%,
Fat Content,1983 October,Domestic,%,4.04
Fat Content,1983 October,Import,%,
Fat Content,1983 November,Domestic,%,4.13
Fat Content,1983 November,Import,%,
Fat Content,1983 December,Domestic,%,3.84
Fat Content,1983 December,Import,%,
Fat Content,1984 January,Domestic,%,3.66
Fat Content,1984 January,Import,%,
Fat Content,1984 February,Domestic,%,3.53
Fat Content,1984 February,Import,%,
Fat Content,1984 March,Domestic,%,3.39
Fat Content,1984 March,Import,%,
Fat Content,1984 April,Domestic,%,3.33
Fat Content,1984 April,Import,%,
Fat Content,1984 May,Domestic,%,3.3
Fat Content,1984 May,Import,%,
Fat Content,1984 June,Domestic,%,3.39
Fat Content,1984 June,Import,%,
Fat Content,1984 July,Domestic,%,3.43
Fat Content,1984 July,Import,%,
Fat Content,1984 August,Domestic,%,3.41
Fat Content,1984 August,Import,%,
Fat Content,1984 September,Domestic,%,3.8
Fat Content,1984 September,Import,%,
Fat Content,1984 October,Domestic,%,4.03
Fat Content,1984 October,Import,%,
Fat Content,1984 November,Domestic,%,4.07
Fat Content,1984 November,Import,%,
Fat Content,1984 December,Domestic,%,3.81
Fat Content,1984 December,Import,%,
Fat Content,1985 January,Domestic,%,3.69
Fat Content,1985 January,Import,%,
Fat Content,1985 February,Domestic,%,3.59
Fat Content,1985 February,Import,%,
Fat Content,1985 March,Domestic,%,3.48
Fat Content,1985 March,Import,%,
Fat Content,1985 April,Domestic,%,3.42
Fat Content,1985 April,Import,%,
Fat Content,1985 May,Domestic,%,3.38
Fat Content,1985 May,Import,%,
Fat Content,1985 June,Domestic,%,3.42
Fat Content,1985 June,Import,%,
Fat Content,1985 July,Domestic,%,3.49
Fat Content,1985 July,Import,%,
Fat Content,1985 August,Domestic,%,3.62
Fat Content,1985 August,Import,%,
Fat Content,1985 September,Domestic,%,3.81
Fat Content,1985 September,Import,%,
Fat Content,1985 October,Domestic,%,4.01
Fat Content,1985 October,Import,%,
Fat Content,1985 November,Domestic,%,4.03
Fat Content,1985 November,Import,%,
Fat Content,1985 December,Domestic,%,3.74
Fat Content,1985 December,Import,%,
Fat Content,1986 January,Domestic,%,3.62
Fat Content,1986 January,Import,%,
Fat Content,1986 February,Domestic,%,3.56
Fat Content,1986 February,Import,%,
Fat Content,1986 March,Domestic,%,3.51
Fat Content,1986 March,Import,%,
Fat Content,1986 April,Domestic,%,3.39
Fat Content,1986 April,Import,%,
Fat Content,1986 May,Domestic,%,3.35
Fat Content,1986 May,Import,%,
Fat Content,1986 June,Domestic,%,3.39
Fat Content,1986 June,Import,%,
Fat Content,1986 July,Domestic,%,3.45
Fat Content,1986 July,Import,%,
Fat Content,1986 August,Domestic,%,3.58
Fat Content,1986 August,Import,%,
Fat Content,1986 September,Domestic,%,3.74
Fat Content,1986 September,Import,%,
Fat Content,1986 October,Domestic,%,3.94
Fat Content,1986 October,Import,%,
Fat Content,1986 November,Domestic,%,4.04
Fat Content,1986 November,Import,%,
Fat Content,1986 December,Domestic,%,3.78
Fat Content,1986 December,Import,%,
Fat Content,1987 January,Domestic,%,3.61
Fat Content,1987 January,Import,%,
Fat Content,1987 February,Domestic,%,3.5
Fat Content,1987 February,Import,%,
Fat Content,1987 March,Domestic,%,3.42
Fat Content,1987 March,Import,%,
Fat Content,1987 April,Domestic,%,3.38
Fat Content,1987 April,Import,%,
Fat Content,1987 May,Domestic,%,3.33
Fat Content,1987 May,Import,%,
Fat Content,1987 June,Domestic,%,3.4
Fat Content,1987 June,Import,%,
Fat Content,1987 July,Domestic,%,3.43
Fat Content,1987 July,Import,%,
Fat Content,1987 August,Domestic,%,3.54
Fat Content,1987 August,Import,%,
Fat Content,1987 September,Domestic,%,3.75
Fat Content,1987 September,Import,%,
Fat Content,1987 October,Domestic,%,3.98
Fat Content,1987 October,Import,%,
Fat Content,1987 November,Domestic,%,3.99
Fat Content,1987 November,Import,%,
Fat Content,1987 December,Domestic,%,3.78
Fat Content,1987 December,Import,%,
Fat Content,1988 January,Domestic,%,3.64
Fat Content,1988 January,Import,%,
Fat Content,1988 February,Domestic,%,3.54
Fat Content,1988 February,Import,%,
Fat Content,1988 March,Domestic,%,3.44
Fat Content,1988 March,Import,%,
Fat Content,1988 April,Domestic,%,3.38
Fat Content,1988 April,Import,%,
Fat Content,1988 May,Domestic,%,3.37
Fat Content,1988 May,Import,%,
Fat Content,1988 June,Domestic,%,3.4
Fat Content,1988 June,Import,%,
Fat Content,1988 July,Domestic,%,3.47
Fat Content,1988 July,Import,%,
Fat Content,1988 August,Domestic,%,3.57
Fat Content,1988 August,Import,%,
Fat Content,1988 September,Domestic,%,3.76
Fat Content,1988 September,Import,%,
Fat Content,1988 October,Domestic,%,4.01
Fat Content,1988 October,Import,%,
Fat Content,1988 November,Domestic,%,4.01
Fat Content,1988 November,Import,%,
Fat Content,1988 December,Domestic,%,3.77
Fat Content,1988 December,Import,%,
Fat Content,1989 January,Domestic,%,3.61
Fat Content,1989 January,Import,%,
Fat Content,1989 February,Domestic,%,3.51
Fat Content,1989 February,Import,%,
Fat Content,1989 March,Domestic,%,3.44
Fat Content,1989 March,Import,%,
Fat Content,1989 April,Domestic,%,3.4
Fat Content,1989 April,Import,%,
Fat Content,1989 May,Domestic,%,3.36
Fat Content,1989 May,Import,%,
Fat Content,1989 June,Domestic,%,3.39
Fat Content,1989 June,Import,%,
Fat Content,1989 July,Domestic,%,3.44
Fat Content,1989 July,Import,%,
Fat Content,1989 August,Domestic,%,3.56
Fat Content,1989 August,Import,%,
Fat Content,1989 September,Domestic,%,3.74
Fat Content,1989 September,Import,%,
Fat Content,1989 October,Domestic,%,3.97
Fat Content,1989 October,Import,%,
Fat Content,1989 November,Domestic,%,4.04
Fat Content,1989 November,Import,%,
Fat Content,1989 December,Domestic,%,3.81
Fat Content,1989 December,Import,%,
Fat Content,1990 January,Domestic,%,3.61
Fat Content,1990 January,Import,%,
Fat Content,1990 February,Domestic,%,3.53
Fat Content,1990 February,Import,%,
Fat Content,1990 March,Domestic,%,3.46
Fat Content,1990 March,Import,%,
Fat Content,1990 April,Domestic,%,3.4
Fat Content,1990 April,Import,%,
Fat Content,1990 May,Domestic,%,3.37
Fat Content,1990 May,Import,%,
Fat Content,1990 June,Domestic,%,3.41
Fat Content,1990 June,Import,%,
Fat Content,1990 July,Domestic,%,3.47
Fat Content,1990 July,Import,%,
Fat Content,1990 August,Domestic,%,3.56
Fat Content,1990 August,Import,%,
Fat Content,1990 September,Domestic,%,3.73
Fat Content,1990 September,Import,%,
Fat Content,1990 October,Domestic,%,4.02
Fat Content,1990 October,Import,%,
Fat Content,1990 November,Domestic,%,4.02
Fat Content,1990 November,Import,%,
Fat Content,1990 December,Domestic,%,3.77
Fat Content,1990 December,Import,%,
Fat Content,1991 January,Domestic,%,3.64
Fat Content,1991 January,Import,%,
Fat Content,1991 February,Domestic,%,3.55
Fat Content,1991 February,Import,%,
Fat Content,1991 March,Domestic,%,3.45
Fat Content,1991 March,Import,%,
Fat Content,1991 April,Domestic,%,3.43
Fat Content,1991 April,Import,%,
Fat Content,1991 May,Domestic,%,3.39
Fat Content,1991 May,Import,%,
Fat Content,1991 June,Domestic,%,3.42
Fat Content,1991 June,Import,%,
Fat Content,1991 July,Domestic,%,3.5
Fat Content,1991 July,Import,%,
Fat Content,1991 August,Domestic,%,3.56
Fat Content,1991 August,Import,%,
Fat Content,1991 September,Domestic,%,3.72
Fat Content,1991 September,Import,%,
Fat Content,1991 October,Domestic,%,3.97
Fat Content,1991 October,Import,%,
Fat Content,1991 November,Domestic,%,4.03
Fat Content,1991 November,Import,%,
Fat Content,1991 December,Domestic,%,3.78
Fat Content,1991 December,Import,%,
Fat Content,1992 January,Domestic,%,3.62
Fat Content,1992 January,Import,%,
Fat Content,1992 February,Domestic,%,3.55
Fat Content,1992 February,Import,%,
Fat Content,1992 March,Domestic,%,3.5
Fat Content,1992 March,Import,%,
Fat Content,1992 April,Domestic,%,3.44
Fat Content,1992 April,Import,%,
Fat Content,1992 May,Domestic,%,3.39
Fat Content,1992 May,Import,%,
Fat Content,1992 June,Domestic,%,3.4
Fat Content,1992 June,Import,%,
Fat Content,1992 July,Domestic,%,3.48
Fat Content,1992 July,Import,%,
Fat Content,1992 August,Domestic,%,3.56
Fat Content,1992 August,Import,%,
Fat Content,1992 September,Domestic,%,3.75
Fat Content,1992 September,Import,%,
Fat Content,1992 October,Domestic,%,3.94
Fat Content,1992 October,Import,%,
Fat Content,1992 November,Domestic,%,4.02
Fat Content,1992 November,Import,%,
Fat Content,1992 December,Domestic,%,3.8
Fat Content,1992 December,Import,%,
Fat Content,1993 January,Domestic,%,3.68
Fat Content,1993 January,Import,%,
Fat Content,1993 February,Domestic,%,3.51
Fat Content,1993 February,Import,%,
Fat Content,1993 March,Domestic,%,3.45
Fat Content,1993 March,Import,%,
Fat Content,1993 April,Domestic,%,3.4
Fat Content,1993 April,Import,%,
Fat Content,1993 May,Domestic,%,3.4
Fat Content,1993 May,Import,%,
Fat Content,1993 June,Domestic,%,3.43
Fat Content,1993 June,Import,%,
Fat Content,1993 July,Domestic,%,3.45
Fat Content,1993 July,Import,%,
Fat Content,1993 August,Domestic,%,3.54
Fat Content,1993 August,Import,%,
Fat Content,1993 September,Domestic,%,3.75
Fat Content,1993 September,Import,%,
Fat Content,1993 October,Domestic,%,3.98
Fat Content,1993 October,Import,%,
Fat Content,1993 November,Domestic,%,4.04
Fat Content,1993 November,Import,%,
Fat Content,1993 December,Domestic,%,3.83
Fat Content,1993 December,Import,%,
Fat Content,1994 January,Domestic,%,3.64
Fat Content,1994 January,Import,%,
Fat Content,1994 February,Domestic,%,3.54
Fat Content,1994 February,Import,%,
Fat Content,1994 March,Domestic,%,3.49
Fat Content,1994 March,Import,%,
Fat Content,1994 April,Domestic,%,3.44
Fat Content,1994 April,Import,%,
Fat Content,1994 May,Domestic,%,3.41
Fat Content,1994 May,Import,%,
Fat Content,1994 June,Domestic,%,3.42
Fat Content,1994 June,Import,%,
Fat Content,1994 July,Domestic,%,3.47
Fat Content,1994 July,Import,%,
Fat Content,1994 August,Domestic,%,3.53
Fat Content,1994 August,Import,%,
Fat Content,1994 September,Domestic,%,3.74
Fat Content,1994 September,Import,%,
Fat Content,1994 October,Domestic,%,3.94
Fat Content,1994 October,Import,%,
Fat Content,1994 November,Domestic,%,4.03
Fat Content,1994 November,Import,%,
Fat Content,1994 December,Domestic,%,3.83
Fat Content,1994 December,Import,%,
Fat Content,1995 January,Domestic,%,3.66
Fat Content,1995 January,Import,%,
Fat Content,1995 February,Domestic,%,3.55
Fat Content,1995 February,Import,%,
Fat Content,1995 March,Domestic,%,3.51
Fat Content,1995 March,Import,%,
Fat Content,1995 April,Domestic,%,3.47
Fat Content,1995 April,Import,%,
Fat Content,1995 May,Domestic,%,3.41
Fat Content,1995 May,Import,%,
Fat Content,1995 June,Domestic,%,3.45
Fat Content,1995 June,Import,%,
Fat Content,1995 July,Domestic,%,3.5
Fat Content,1995 July,Import,%,
Fat Content,1995 August,Domestic,%,3.56
Fat Content,1995 August,Import,%,
Fat Content,1995 September,Domestic,%,3.76
Fat Content,1995 September,Import,%,
Fat Content,1995 October,Domestic,%,3.96
Fat Content,1995 October,Import,%,
Fat Content,1995 November,Domestic,%,4
Fat Content,1995 November,Import,%,
Fat Content,1995 December,Domestic,%,3.83
Fat Content,1995 December,Import,%,
Fat Content,1996 January,Domestic,%,3.66
Fat Content,1996 January,Import,%,
Fat Content,1996 February,Domestic,%,3.58
Fat Content,1996 February,Import,%,
Fat Content,1996 March,Domestic,%,3.52
Fat Content,1996 March,Import,%,
Fat Content,1996 April,Domestic,%,3.49
Fat Content,1996 April,Import,%,
Fat Content,1996 May,Domestic,%,3.42
Fat Content,1996 May,Import,%,
Fat Content,1996 June,Domestic,%,3.46
Fat Content,1996 June,Import,%,
Fat Content,1996 July,Domestic,%,3.52
Fat Content,1996 July,Import,%,
Fat Content,1996 August,Domestic,%,3.61
Fat Content,1996 August,Import,%,
Fat Content,1996 September,Domestic,%,3.75
Fat Content,1996 September,Import,%,
Fat Content,1996 October,Domestic,%,3.99
Fat Content,1996 October,Import,%,
Fat Content,1996 November,Domestic,%,4.02
Fat Content,1996 November,Import,%,
Fat Content,1996 December,Domestic,%,3.81
Fat Content,1996 December,Import,%,
Fat Content,1997 January,Domestic,%,3.76
Fat Content,1997 January,Import,%,
Fat Content,1997 February,Domestic,%,3.56
Fat Content,1997 February,Import,%,
Fat Content,1997 March,Domestic,%,3.52
Fat Content,1997 March,Import,%,
Fat Content,1997 April,Domestic,%,3.44
Fat Content,1997 April,Import,%,
Fat Content,1997 May,Domestic,%,3.46
Fat Content,1997 May,Import,%,
Fat Content,1997 June,Domestic,%,3.5
Fat Content,1997 June,Import,%,
Fat Content,1997 July,Domestic,%,3.54
Fat Content,1997 July,Import,%,
Fat Content,1997 August,Domestic,%,3.65
Fat Content,1997 August,Import,%,
Fat Content,1997 September,Domestic,%,3.82
Fat Content,1997 September,Import,%,
Fat Content,1997 October,Domestic,%,4.02
Fat Content,1997 October,Import,%,
Fat Content,1997 November,Domestic,%,4.01
Fat Content,1997 November,Import,%,
Fat Content,1997 December,Domestic,%,3.81
Fat Content,1997 December,Import,%,
Fat Content,1998 January,Domestic,%,3.67
Fat Content,1998 January,Import,%,
Fat Content,1998 February,Domestic,%,3.61
Fat Content,1998 February,Import,%,
Fat Content,1998 March,Domestic,%,3.57
Fat Content,1998 March,Import,%,
Fat Content,1998 April,Domestic,%,3.55
Fat Content,1998 April,Import,%,
Fat Content,1998 May,Domestic,%,3.49
Fat Content,1998 May,Import,%,
Fat Content,1998 June,Domestic,%,3.55
Fat Content,1998 June,Import,%,
Fat Content,1998 July,Domestic,%,3.6
Fat Content,1998 July,Import,%,
Fat Content,1998 August,Domestic,%,3.68
Fat Content,1998 August,Import,%,
Fat Content,1998 September,Domestic,%,3.87
Fat Content,1998 September,Import,%,
Fat Content,1998 October,Domestic,%,4.08
Fat Content,1998 October,Import,%,
Fat Content,1998 November,Domestic,%,4.06
Fat Content,1998 November,Import,%,
Fat Content,1998 December,Domestic,%,3.88
Fat Content,1998 December,Import,%,
Fat Content,1999 January,Domestic,%,3.77
Fat Content,1999 January,Import,%,
Fat Content,1999 February,Domestic,%,3.68
Fat Content,1999 February,Import,%,
Fat Content,1999 March,Domestic,%,3.62
Fat Content,1999 March,Import,%,
Fat Content,1999 April,Domestic,%,3.58
Fat Content,1999 April,Import,%,
