Statistic Label,Month,Domestic or Import Source,UNIT,VALUE
Intake of Cows Milk by Creameries and Pasteurisers,1980 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 February,Domestic,Million Litres,169.1
Intake of Cows Milk by Creameries and Pasteurisers,1980 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 March,Domestic,Million Litres,319.8
Intake of Cows Milk by Creameries and Pasteurisers,1980 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 April,Domestic,Million Litres,506.7
Intake of Cows Milk by Creameries and Pasteurisers,1980 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 May,Domestic,Million Litres,690.6
Intake of Cows Milk by Creameries and Pasteurisers,1980 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 June,Domestic,Million Litres,655.2
Intake of Cows Milk by Creameries and Pasteurisers,1980 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 July,Domestic,Million Litres,605.7
Intake of Cows Milk by Creameries and Pasteurisers,1980 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 August,Domestic,Million Litres,516.7
Intake of Cows Milk by Creameries and Pasteurisers,1980 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 September,Domestic,Million Litres,402.6
Intake of Cows Milk by Creameries and Pasteurisers,1980 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 October,Domestic,Million Litres,261.7
Intake of Cows Milk by Creameries and Pasteurisers,1980 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 November,Domestic,Million Litres,114
Intake of Cows Milk by Creameries and Pasteurisers,1980 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1980 December,Domestic,Million Litres,81.5
Intake of Cows Milk by Creameries and Pasteurisers,1980 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 January,Domestic,Million Litres,90.9
Intake of Cows Milk by Creameries and Pasteurisers,1981 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 February,Domestic,Million Litres,165.7
Intake of Cows Milk by Creameries and Pasteurisers,1981 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 March,Domestic,Million Litres,338.3
Intake of Cows Milk by Creameries and Pasteurisers,1981 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 April,Domestic,Million Litres,536.5
Intake of Cows Milk by Creameries and Pasteurisers,1981 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 May,Domestic,Million Litres,669.7
Intake of Cows Milk by Creameries and Pasteurisers,1981 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 June,Domestic,Million Litres,621.3
Intake of Cows Milk by Creameries and Pasteurisers,1981 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 July,Domestic,Million Litres,599.1
Intake of Cows Milk by Creameries and Pasteurisers,1981 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 August,Domestic,Million Litres,518.4
Intake of Cows Milk by Creameries and Pasteurisers,1981 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 September,Domestic,Million Litres,383.5
Intake of Cows Milk by Creameries and Pasteurisers,1981 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 October,Domestic,Million Litres,258.8
Intake of Cows Milk by Creameries and Pasteurisers,1981 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 November,Domestic,Million Litres,127
Intake of Cows Milk by Creameries and Pasteurisers,1981 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1981 December,Domestic,Million Litres,85
Intake of Cows Milk by Creameries and Pasteurisers,1981 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 January,Domestic,Million Litres,101.8
Intake of Cows Milk by Creameries and Pasteurisers,1982 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 February,Domestic,Million Litres,190.5
Intake of Cows Milk by Creameries and Pasteurisers,1982 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 March,Domestic,Million Litres,362.4
Intake of Cows Milk by Creameries and Pasteurisers,1982 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 April,Domestic,Million Litres,553
Intake of Cows Milk by Creameries and Pasteurisers,1982 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 May,Domestic,Million Litres,721
Intake of Cows Milk by Creameries and Pasteurisers,1982 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 June,Domestic,Million Litres,682.9
Intake of Cows Milk by Creameries and Pasteurisers,1982 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 July,Domestic,Million Litres,626.5
Intake of Cows Milk by Creameries and Pasteurisers,1982 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 August,Domestic,Million Litres,544.8
Intake of Cows Milk by Creameries and Pasteurisers,1982 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 September,Domestic,Million Litres,437
Intake of Cows Milk by Creameries and Pasteurisers,1982 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 October,Domestic,Million Litres,309.3
Intake of Cows Milk by Creameries and Pasteurisers,1982 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 November,Domestic,Million Litres,164
Intake of Cows Milk by Creameries and Pasteurisers,1982 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1982 December,Domestic,Million Litres,111.9
Intake of Cows Milk by Creameries and Pasteurisers,1982 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 January,Domestic,Million Litres,137.9
Intake of Cows Milk by Creameries and Pasteurisers,1983 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 February,Domestic,Million Litres,230.7
Intake of Cows Milk by Creameries and Pasteurisers,1983 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 March,Domestic,Million Litres,422.1
Intake of Cows Milk by Creameries and Pasteurisers,1983 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 April,Domestic,Million Litres,597.8
Intake of Cows Milk by Creameries and Pasteurisers,1983 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 May,Domestic,Million Litres,749.6
Intake of Cows Milk by Creameries and Pasteurisers,1983 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 June,Domestic,Million Litres,727.1
Intake of Cows Milk by Creameries and Pasteurisers,1983 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 July,Domestic,Million Litres,664.2
Intake of Cows Milk by Creameries and Pasteurisers,1983 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 August,Domestic,Million Litres,553.9
Intake of Cows Milk by Creameries and Pasteurisers,1983 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 September,Domestic,Million Litres,457.1
Intake of Cows Milk by Creameries and Pasteurisers,1983 September,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 October,Domestic,Million Litres,335.2
Intake of Cows Milk by Creameries and Pasteurisers,1983 October,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 November,Domestic,Million Litres,182.9
Intake of Cows Milk by Creameries and Pasteurisers,1983 November,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1983 December,Domestic,Million Litres,127.7
Intake of Cows Milk by Creameries and Pasteurisers,1983 December,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 January,Domestic,Million Litres,158.2
Intake of Cows Milk by Creameries and Pasteurisers,1984 January,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 February,Domestic,Million Litres,266.2
Intake of Cows Milk by Creameries and Pasteurisers,1984 February,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 March,Domestic,Million Litres,458.5
Intake of Cows Milk by Creameries and Pasteurisers,1984 March,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 April,Domestic,Million Litres,621
Intake of Cows Milk by Creameries and Pasteurisers,1984 April,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 May,Domestic,Million Litres,814.3
Intake of Cows Milk by Creameries and Pasteurisers,1984 May,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 June,Domestic,Million Litres,754.2
Intake of Cows Milk by Creameries and Pasteurisers,1984 June,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 July,Domestic,Million Litres,674.7
Intake of Cows Milk by Creameries and Pasteurisers,1984 July,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 August,Domestic,Million Litres,579.6
Intake of Cows Milk by Creameries and Pasteurisers,1984 August,Import,Million Litres,
Intake of Cows Milk by Creameries and Pasteurisers,1984 September,Domestic,Million Litres,445.8
Intake of Cows Milk by Creameries and Pasteurisers,1984 September,Import,Million Litres,
