,Statistic Label,Month,Meteorological Weather Station,UNIT,VALUE,New_Date
15890,Most Rainfall in a Day,1981M04,Clones,Millimetres,11.4,1981-04
15891,Most Rainfall in a Day,1981M04,Cork airport,Millimetres,17.0,1981-04
15892,Most Rainfall in a Day,1981M04,Dublin airport,Millimetres,26.2,1981-04
15893,Most Rainfall in a Day,1981M04,Galway,Millimetres,13.3,1981-04
15894,Most Rainfall in a Day,1981M04,Kilkenny,Millimetres,8.9,1981-04
15895,Most Rainfall in a Day,1981M04,Malin head,Millimetres,13.6,1981-04
15896,Most Rainfall in a Day,1981M04,Mullingar,Millimetres,9.9,1981-04
15897,Most Rainfall in a Day,1981M04,Roches Point,Millimetres,8.8,1981-04
15898,Most Rainfall in a Day,1981M04,Rosslare,Millimetres,11.6,1981-04
15899,Most Rainfall in a Day,1981M04,Shannon airport,Millimetres,3.1,1981-04
15900,Most Rainfall in a Day,1981M05,Belmullet,Millimetres,18.0,1981-05
15901,Most Rainfall in a Day,1981M05,Birr,Millimetres,12.9,1981-05
15902,Most Rainfall in a Day,1981M05,Valentia Observatory,Millimetres,22.5,1981-05
15903,Most Rainfall in a Day,1981M05,Casement,Millimetres,16.5,1981-05
15904,Most Rainfall in a Day,1981M05,Claremorris,Millimetres,13.8,1981-05
15905,Most Rainfall in a Day,1981M05,Clones,Millimetres,26.1,1981-05
15906,Most Rainfall in a Day,1981M05,Cork airport,Millimetres,30.5,1981-05
15907,Most Rainfall in a Day,1981M05,Dublin airport,Millimetres,9.4,1981-05
15908,Most Rainfall in a Day,1981M05,Galway,Millimetres,19.0,1981-05
15909,Most Rainfall in a Day,1981M05,Kilkenny,Millimetres,17.1,1981-05
15910,Most Rainfall in a Day,1981M05,Malin head,Millimetres,29.8,1981-05
15911,Most Rainfall in a Day,1981M05,Mullingar,Millimetres,17.7,1981-05
15912,Most Rainfall in a Day,1981M05,Roches Point,Millimetres,16.8,1981-05
15913,Most Rainfall in a Day,1981M05,Rosslare,Millimetres,17.8,1981-05
15914,Most Rainfall in a Day,1981M05,Shannon airport,Millimetres,18.6,1981-05
15915,Most Rainfall in a Day,1981M06,Belmullet,Millimetres,16.0,1981-06
15916,Most Rainfall in a Day,1981M06,Birr,Millimetres,17.9,1981-06
15917,Most Rainfall in a Day,1981M06,Valentia Observatory,Millimetres,23.4,1981-06
15918,Most Rainfall in a Day,1981M06,Casement,Millimetres,18.9,1981-06
15919,Most Rainfall in a Day,1981M06,Claremorris,Millimetres,17.4,1981-06
15920,Most Rainfall in a Day,1981M06,Clones,Millimetres,22.3,1981-06
15921,Most Rainfall in a Day,1981M06,Cork airport,Millimetres,15.6,1981-06
15922,Most Rainfall in a Day,1981M06,Dublin airport,Millimetres,21.9,1981-06
15923,Most Rainfall in a Day,1981M06,Galway,Millimetres,19.9,1981-06
15924,Most Rainfall in a Day,1981M06,Kilkenny,Millimetres,8.8,1981-06
15925,Most Rainfall in a Day,1981M06,Malin head,Millimetres,13.8,1981-06
15926,Most Rainfall in a Day,1981M06,Mullingar,Millimetres,26.2,1981-06
15927,Most Rainfall in a Day,1981M06,Roches Point,Millimetres,14.9,1981-06
15928,Most Rainfall in a Day,1981M06,Rosslare,Millimetres,14.2,1981-06
15929,Most Rainfall in a Day,1981M06,Shannon airport,Millimetres,13.6,1981-06
15930,Most Rainfall in a Day,1981M07,Belmullet,Millimetres,17.3,1981-07
15931,Most Rainfall in a Day,1981M07,Birr,Millimetres,10.7,1981-07
15932,Most Rainfall in a Day,1981M07,Valentia Observatory,Millimetres,9.8,1981-07
15933,Most Rainfall in a Day,1981M07,Casement,Millimetres,10.3,1981-07
15934,Most Rainfall in a Day,1981M07,Claremorris,Millimetres,29.0,1981-07
15935,Most Rainfall in a Day,1981M07,Clones,Millimetres,9.1,1981-07
15936,Most Rainfall in a Day,1981M07,Cork airport,Millimetres,13.8,1981-07
15937,Most Rainfall in a Day,1981M07,Dublin airport,Millimetres,10.8,1981-07
15938,Most Rainfall in a Day,1981M07,Galway,Millimetres,13.3,1981-07
15939,Most Rainfall in a Day,1981M07,Kilkenny,Millimetres,9.2,1981-07
15940,Most Rainfall in a Day,1981M07,Malin head,Millimetres,17.5,1981-07
15941,Most Rainfall in a Day,1981M07,Mullingar,Millimetres,10.3,1981-07
15942,Most Rainfall in a Day,1981M07,Roches Point,Millimetres,8.6,1981-07
15943,Most Rainfall in a Day,1981M07,Rosslare,Millimetres,4.3,1981-07
15944,Most Rainfall in a Day,1981M07,Shannon airport,Millimetres,7.5,1981-07
15945,Most Rainfall in a Day,1981M08,Belmullet,Millimetres,11.0,1981-08
15946,Most Rainfall in a Day,1981M08,Birr,Millimetres,6.7,1981-08
15947,Most Rainfall in a Day,1981M08,Valentia Observatory,Millimetres,12.7,1981-08
15948,Most Rainfall in a Day,1981M08,Casement,Millimetres,2.9,1981-08
15949,Most Rainfall in a Day,1981M08,Claremorris,Millimetres,10.0,1981-08
15950,Most Rainfall in a Day,1981M08,Clones,Millimetres,9.9,1981-08
15951,Most Rainfall in a Day,1981M08,Cork airport,Millimetres,7.9,1981-08
15952,Most Rainfall in a Day,1981M08,Dublin airport,Millimetres,6.2,1981-08
15953,Most Rainfall in a Day,1981M08,Galway,Millimetres,20.5,1981-08
15954,Most Rainfall in a Day,1981M08,Kilkenny,Millimetres,4.3,1981-08
15955,Most Rainfall in a Day,1981M08,Malin head,Millimetres,24.4,1981-08
15956,Most Rainfall in a Day,1981M08,Mullingar,Millimetres,9.6,1981-08
15957,Most Rainfall in a Day,1981M08,Roches Point,Millimetres,7.0,1981-08
15958,Most Rainfall in a Day,1981M08,Rosslare,Millimetres,7.6,1981-08
15959,Most Rainfall in a Day,1981M08,Shannon airport,Millimetres,8.1,1981-08
15960,Most Rainfall in a Day,1981M09,Belmullet,Millimetres,40.4,1981-09
15961,Most Rainfall in a Day,1981M09,Birr,Millimetres,25.4,1981-09
15962,Most Rainfall in a Day,1981M09,Valentia Observatory,Millimetres,55.6,1981-09
15963,Most Rainfall in a Day,1981M09,Casement,Millimetres,19.7,1981-09
15964,Most Rainfall in a Day,1981M09,Claremorris,Millimetres,41.6,1981-09
15965,Most Rainfall in a Day,1981M09,Clones,Millimetres,18.2,1981-09
15966,Most Rainfall in a Day,1981M09,Cork airport,Millimetres,27.6,1981-09
15967,Most Rainfall in a Day,1981M09,Dublin airport,Millimetres,22.3,1981-09
15968,Most Rainfall in a Day,1981M09,Galway,Millimetres,22.5,1981-09
15969,Most Rainfall in a Day,1981M09,Kilkenny,Millimetres,22.9,1981-09
15970,Most Rainfall in a Day,1981M09,Malin head,Millimetres,15.2,1981-09
15971,Most Rainfall in a Day,1981M09,Mullingar,Millimetres,24.2,1981-09
15972,Most Rainfall in a Day,1981M09,Roches Point,Millimetres,29.2,1981-09
15973,Most Rainfall in a Day,1981M09,Rosslare,Millimetres,19.5,1981-09
15974,Most Rainfall in a Day,1981M09,Shannon airport,Millimetres,23.4,1981-09
15975,Most Rainfall in a Day,1981M10,Belmullet,Millimetres,19.6,1981-10
15976,Most Rainfall in a Day,1981M10,Birr,Millimetres,16.5,1981-10
15977,Most Rainfall in a Day,1981M10,Valentia Observatory,Millimetres,17.8,1981-10
15978,Most Rainfall in a Day,1981M10,Casement,Millimetres,25.2,1981-10
15979,Most Rainfall in a Day,1981M10,Claremorris,Millimetres,23.7,1981-10
15980,Most Rainfall in a Day,1981M10,Clones,Millimetres,12.1,1981-10
15981,Most Rainfall in a Day,1981M10,Cork airport,Millimetres,19.1,1981-10
15982,Most Rainfall in a Day,1981M10,Dublin airport,Millimetres,33.4,1981-10
15983,Most Rainfall in a Day,1981M10,Galway,Millimetres,12.9,1981-10
15984,Most Rainfall in a Day,1981M10,Kilkenny,Millimetres,14.2,1981-10
15985,Most Rainfall in a Day,1981M10,Malin head,Millimetres,24.6,1981-10
15986,Most Rainfall in a Day,1981M10,Mullingar,Millimetres,14.0,1981-10
15987,Most Rainfall in a Day,1981M10,Roches Point,Millimetres,18.6,1981-10
15988,Most Rainfall in a Day,1981M10,Rosslare,Millimetres,19.3,1981-10
15989,Most Rainfall in a Day,1981M10,Shannon airport,Millimetres,13.4,1981-10
15990,Most Rainfall in a Day,1981M11,Belmullet,Millimetres,23.2,1981-11
15991,Most Rainfall in a Day,1981M11,Birr,Millimetres,18.8,1981-11
15992,Most Rainfall in a Day,1981M11,Valentia Observatory,Millimetres,17.4,1981-11
15993,Most Rainfall in a Day,1981M11,Casement,Millimetres,18.2,1981-11
15994,Most Rainfall in a Day,1981M11,Claremorris,Millimetres,15.0,1981-11
15995,Most Rainfall in a Day,1981M11,Clones,Millimetres,11.6,1981-11
15996,Most Rainfall in a Day,1981M11,Cork airport,Millimetres,21.6,1981-11
15997,Most Rainfall in a Day,1981M11,Dublin airport,Millimetres,19.5,1981-11
15998,Most Rainfall in a Day,1981M11,Galway,Millimetres,14.6,1981-11
15999,Most Rainfall in a Day,1981M11,Kilkenny,Millimetres,15.8,1981-11
